country,market_share
United States,50.1%
United Kingdom,5.8%
Canada,4.3%
Australia,4.1%
Taiwan,3.7%
Germany,2.4%
Netherlands,2.3%
Mexico,2.1%
Vietnam,1.7%
India,1.4%
Brazil,1.1%
Colombia,1.1%
Spain,1.1%
Czechia,0.9%
Türkiye,0.8%
France,0.8%
Israel,0.8%
Denmark,0.7%
New Zealand,0.6%
Singapore,0.6%
Saudi Arabia,0.6%
South Africa,0.5%
Poland,0.5%
Ireland,0.5%
Sweden,0.5%
Hong Kong,0.5%
Norway,0.5%
Japan,0.5%
Belgium,0.4%
Philippines,0.4%
Finland,0.4%
Italy,0.4%
Iran,0.3%
Switzerland,0.3%
Portugal,0.3%
Greece,0.3%
Malaysia,0.3%
Austria,0.2%
Chile,0.2%
United Arab Emirates,0.2%
Argentina,0.2%
Egypt,0.2%
Hungary,0.2%
Indonesia,0.2%
Cambodia,0.2%
Peru,0.2%
Russian Federation,0.2%
Romania,0.2%
Thailand,0.2%
Nigeria,0.2%
Iceland,0.2%
Dominican Republic,0.1%
Kenya,0.1%
Ecuador,0.1%
South Korea,0.1%
Slovakia,0.1%
Morocco,0.1%
Venezuela,0.1%
Estonia,0.1%
Puerto Rico,0.1%
