Platform,Usage
Apple Podcasts,38.6%
Spotify,26.7%
Web Browser,3.5%
Google Podcasts,2.6%
Apple iTunes,2.0%
CastBox,1.4%
Buzzsprout Embed Player,1.4%
Podcast Addict,1.3%
Overcast,1.0%
Your Buzzsprout Site,0.8%
Pocket Casts,0.7%
Amazon Music,0.7%
Stitcher,0.6%
iHeartRadio,0.6%
Pandora,0.5%
Podbean,0.5%
Amazon Echo,0.4%
Chromecast,0.3%
Audible,0.3%
MixerBox,0.3%
Podcasty,0.2%
Podimo,0.2%
Deezer,0.1%
Apple Music,0.1%
Player FM,0.1%
Podcast Republic,0.1%
Antenna Pod,0.1%
Sonos,0.1%
Downcast,0.1%
The Podcast App,0.1%
Instagram,0.1%
Roka Stereo,0.1%
Facebook,0.1%
Spotify-Lite,0.1%
