podcast_name,artist,rank,evolution,url
Hobbylos,"Spotify, Rezo & Julien Bam|Rezo (jung, attraktiv und erfolgreich hobbylos) & Julien Bam (sportlich, fehlerfrei & aufstrebend hobbylos) reden hier, ja, genau hier, im Spotify Original Podcast über therapeutische, mathematische, politische, sozial mediale, lebhafte Fakten ihres Lebens. Einfach folgen, um zum zertif... Lire la suite|Rezo (jung, attraktiv und erfolgreich hobbylos) & Julien Bam (sportlich, fehlerfrei & aufstrebend hobbylos) reden hier, ja, genau hier, im Spotify Original Podcast über therapeutische, mathematische, politische, sozial mediale, lebhafte Fakten ihres Lebens. Einfach folgen, um zum zertif... Lire la suite|... Lire la suite|... Lire la suite",1,,https://open.spotify.com/show/6UUIXmp1V0fK4ZpK7vzAbQ|https://open.spotify.com/show/6UUIXmp1V0fK4ZpK7vzAbQ|https://open.spotify.com/show/6UUIXmp1V0fK4ZpK7vzAbQ|https://open.spotify.com/show/6UUIXmp1V0fK4ZpK7vzAbQ
life is felicious,Feli-videozeugs,2,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_up_arrow_green.svg,https://open.spotify.com/show/4M0Sa7WMDnXQzhczkhWN5a
Kurt Krömer - Feelings,Wondery,3,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/3TU9Xk8aHP5iMjJKxYJCez
Dick & Doof,laserluca & selfiesandra,4,,https://open.spotify.com/show/3RWaVT0v1SK6iALTtUK8bQ
Gemischtes Hack,Felix Lobrecht & Tommi Schmitt,5,,https://open.spotify.com/show/7BTOsF2boKmlYr76BelijW
Kottbruder - GermanLetsPlay & Paluten,"GermanLetsPlay, Paluten",6,,https://open.spotify.com/show/1zRaolLy0qnLaOjILVObOD
Aha! Zehn Minuten Alltags-Wissen,WELT,7,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_up_arrow_green.svg,https://open.spotify.com/show/0xVTjXuo1jKKi2lyv0cRmI
"WAS, OMG?!",Alina Mour und Leoobalys,8,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_up_arrow_green.svg,https://open.spotify.com/show/6Tgmnm1qTQaYyIH1nKNt3d
Die Nervigen,Julia Beautx & Joey's Jungle,9,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/7pmajV5WQ5e6e6vBu5WI4W
5 Minuten Harry Podcast von Coldmirror,funk - von ARD und ZDF,10,,https://open.spotify.com/show/4us7Lec3iNeAXDoG56Vths
Let the Show be Gyn,Dr. med. Konstantin Wagner,11,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_up_arrow_green.svg,https://open.spotify.com/show/1pzEDkbOZPw8dw7WJZYV9t
Cui Bono: Wer hat Angst vorm Drachenlord?,Studio Bummens & Undone,12,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/4gFKJ4Mj6layZowxgMdneB
Psychologie to go!,Dipl. Psych. Franca Cerutti,13,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_up_arrow_green.svg,https://open.spotify.com/show/3mG3tekTmmhDuzh6d0Gm0w
Verbrechen,ZEIT ONLINE,14,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/3gZaAYXAQAh09UlKbYaK49
Mordlust,Paulina Krasa & Laura Wohlers,15,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/6wPqbSlsvoi3Rgjjc2Sn4R
Kaffee mit Zitrone - mit Dagi & Tina,Dagi Bee & Tina Dzialas | Podimo,16,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/2ilsLI5lRL0wkkkTXyRNqc
Frauke Liebs - Die Suche nach dem Mörder,RTL+ / stern,17,,https://open.spotify.com/show/3PVoAoR26ZppGdQjGxtl1X
Offline + Ehrlich,"Spotify, Trymacs, Varion & unsympathischTV",18,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/7CaEsK7C8W4p0ZrPohyrht
Afterhour Unzensiert,Julyanpohl & Cenkgooo,19,,https://open.spotify.com/show/7wP2wJfphuldtf5wipiXQS
MORD AUF EX,Leonie Bartsch & Linn Schütze,20,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_up_arrow_green.svg,https://open.spotify.com/show/28xB1TuIMy3xIjng8diGWT
LANZ & PRECHT,"ZDF, Markus Lanz & Richard David Precht",21,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/4bGWMQA1ANGTgcysDo14aX
ZWEI LOCHMANN,Heiko & Roman Lochmann (HE/RO),22,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_up_arrow_green.svg,https://open.spotify.com/show/7Asv1cYxvbDcUJdtRdR63a
Hotz & Houmsi,"Sebastian ""El Hotzo"" Hotz, Salwa Houmsi & Studio Bummens",23,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/0lhweNp5xdkTgMqjmIoM36
Kampf der Unternehmen,Wondery,24,,https://open.spotify.com/show/5upH8tTo1fNvNXCSJJd1r6
TRUE CRIME - Tödliche Verbrechen,Bayerischer Rundfunk,25,,https://open.spotify.com/show/6f7HlvN3ukmg7wCdB4zsFT
Leeroy Matata,Leeroy Matata,26,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/7Hop0rFteM9VVM2ZZ8xvs3
Wissen Weekly,Spotify Studios,27,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_up_arrow_green.svg,https://open.spotify.com/show/02RUOjUej5WoawxQWISAW9
Fest & Flauschig,Jan Böhmermann & Olli Schulz,28,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/1OLcQdw2PFDPG1jo3s0wbp
Aktenzeichen XY… Unvergessene Verbrechen,ZDF - Aktenzeichen XY,29,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/2pmcKQxFZV5ThxoePnEhSN
Baywatch Berlin,"Klaas Heufer-Umlauf, Thomas Schmitt, Jakob Lundt & Studio Bummens",30,,https://open.spotify.com/show/3jtLk2Zlutfjo91QZYXmlA
Weird Crimes,"Ines Anioli, Visa Vie & Studio Bummens",31,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/5mUoxiityJLco71kEhTArI
Bratwurst und Baklava - mit Özcan Cosar und Bastian Bielendorfer,"RTL+ / Bastian Bielendorfer, Özcan Cosar",32,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/22ld4ZnaKY4xUvD3oIC8tn
Hausmann & Benecke - True Crime,Romy Hausmann,33,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_up_arrow_green.svg,https://open.spotify.com/show/2b0Iu19tdxFJolA6RwraEW
Verbrechen von nebenan: True Crime aus der Nachbarschaft,Philipp Fleiter / Audio Alliance,34,https://podcastcharts.byspotify.com/img/svg/SPxPC_001_down_arrow_red.svg,https://open.spotify.com/show/1hvrOvBJIRoe1fbKVkqVE6
